hour,day,month,year,num_transactions,avg_gas_price,avg_gas
10,11,1,2017,1198,23771640542.195343,170254.61435726203
11,11,1,2017,1808,22650108414.615055,131994.99336283191
12,11,1,2017,2007,22708003097.711006,109776.110114599
13,11,1,2017,1944,22601230598.237724,102395.03343621369
14,11,1,2017,2047,22394878395.969231,117780.42745481196
15,11,1,2017,2924,22344089136.40704,111934.86901504762
16,11,1,2017,1443,22604265561.778263,155639.92654192657
17,11,1,2017,1924,23039369226.067539,125429.58160083157
18,11,1,2017,1258,23019541149.404617,156412.22734499216
19,11,1,2017,1470,23138345518.288425,162384.32108843562
20,11,1,2017,3324,23028025128.711769,100420.19344163661
21,11,1,2017,1756,22805014518.793255,113919.65603644653
22,11,1,2017,1199,24039768440.731407,124748.96747289413
23,11,1,2017,1407,23210915311.8891,146352.658137882
0,12,1,2017,1187,24045504149.5164,125476.29570345403
1,12,1,2017,2126,22194213273.414333,236685.30338664152
2,12,1,2017,2216,22431293864.928284,143273.33438628173
3,12,1,2017,4222,22170157200.279709,96310.888678351388
4,12,1,2017,1390,22902286158.200726,127427.76043165459
5,12,1,2017,2014,22084862842.908154,129031.9697120159
6,12,1,2017,2796,21149380227.321144,116598.31795422017
7,12,1,2017,2236,22827247426.784859,120870.59168157441
8,12,1,2017,1285,23442954269.687954,139572.59688715951
9,12,1,2017,2207,22508153940.419556,122557.83280471223
10,12,1,2017,1200,23982614788.547512,148667.33499999985
11,12,1,2017,1444,22907421105.644695,128529.18074792252
12,12,1,2017,1491,22297385709.771965,126105.5486250839
13,12,1,2017,2591,20356857444.756084,123832.94558085667
14,12,1,2017,1827,22124783961.515038,136718.09469074995
15,12,1,2017,2991,29202815441.344021,98419.72149782686
16,12,1,2017,1793,21772857912.185181,139107.20914668142
17,12,1,2017,1640,23321781797.265831,115514.78841463418
18,12,1,2017,2263,21575776140.362354,124401.68802474583
19,12,1,2017,4651,22779442031.08791,107620.74736615767
20,12,1,2017,1582,21761685487.949432,136416.8843236407
21,12,1,2017,2450,22468627765.397964,99045.033061224574
22,12,1,2017,1461,23460588953.610531,146491.00205338796
23,12,1,2017,1526,22504618666.826347,129993.78309305366
0,13,1,2017,1599,22211653751.604095,134845.15572232654
1,13,1,2017,2333,21374852499.652393,128239.22760394338
2,13,1,2017,2417,20508706671.196526,118426.34298717417
3,13,1,2017,2821,22892177681.533493,114774.28925912794
4,13,1,2017,3470,21612396744.144688,125153.2731988473
5,13,1,2017,2253,22104555237.745255,121805.3404349757
6,13,1,2017,2224,21610162354.564735,123630.95278776973
7,13,1,2017,2363,21236986813.374096,163943.25518408802
8,13,1,2017,1768,20986745976.068405,137045.74208144817
9,13,1,2017,2677,21141590505.235981,116969.35375420241
10,13,1,2017,1764,21772382350.103111,139672.42517006802
11,13,1,2017,1846,22587194064.479965,136943.94041170069
12,13,1,2017,1471,22730279144.678417,150419.88715159762
13,13,1,2017,3898,21829718032.784195,104067.0415597742
14,13,1,2017,1636,21969827114.957882,145168.20843520761
15,13,1,2017,3333,21197687733.775887,106267.12781278137
16,13,1,2017,1582,22173218325.721859,135005.64917825535
17,13,1,2017,1803,22000855110.950668,122670.25679423181
18,13,1,2017,1250,21655199744.003185,165077.19520000013
19,13,1,2017,1670,22142823587.705978,111166.660479042
20,13,1,2017,1519,22365996517.210014,122773.90520078996
21,13,1,2017,2448,21919005407.090702,103845.37459150319
22,13,1,2017,1178,21985568760.614647,135016.34125636658
23,13,1,2017,1510,21012472084.531803,125262.71788079481
0,14,1,2017,1609,21379904342.36293,129018.32504661291
1,14,1,2017,3129,21361264711.831562,105518.70757430508
2,14,1,2017,2448,21403597502.58535,121530.1307189542
3,14,1,2017,2385,22255492552.105267,107472.20041928718
4,14,1,2017,1378,22557788442.013821,119579.6567489115
5,14,1,2017,1232,21586131308.217503,128867.11120129857
6,14,1,2017,1439,21726337734.541389,169160.92077831828
7,14,1,2017,1922,22550092943.805935,117384.6982310094
8,14,1,2017,1339,21902060599.176258,129660.54144884233
9,14,1,2017,2169,22454678212.809139,102370.67081604422
10,14,1,2017,1150,22691749656.646946,118054.68347826098
11,14,1,2017,1563,22037043567.427372,138593.25591810612
12,14,1,2017,3490,22865041037.84182,98078.480515759235
13,14,1,2017,1370,22110083752.049629,133841.80656934308
14,14,1,2017,1647,21822899961.475414,131086.52944748025
15,14,1,2017,2022,22062590953.186897,101477.83432245307
16,14,1,2017,1477,21075715960.119133,170058.0345294516
17,14,1,2017,1318,21363008433.221542,141416.9939301975
18,14,1,2017,1128,22410629854.781021,134775.39450354606
19,14,1,2017,1039,22006079149.707447,123381.3628488931
20,14,1,2017,1154,21534688908.149033,106360.8925476603
21,14,1,2017,1966,21702093711.370819,142631.36164801629
22,14,1,2017,1816,23023301892.372231,103125.71145374446
23,14,1,2017,1854,23363467468.837612,107597.99676375407
0,15,1,2017,1267,21801894238.360744,120700.2257300709
1,15,1,2017,2440,21367069513.490196,101977.39385245902
2,15,1,2017,1508,23036823536.054352,128004.83753315649
3,15,1,2017,3928,23145009501.170513,106800.5287678209
4,15,1,2017,1431,21774652708.877682,121113.78476589803
5,15,1,2017,1371,22233636934.024075,134242.911743253
6,15,1,2017,1543,22179725363.934566,162180.05897602069
7,15,1,2017,1073,21770626540.128613,133149.89095992551
8,15,1,2017,1010,22646409372.528679,136646.68712871292
9,15,1,2017,1934,22673387218.198051,93998.112202688862
10,15,1,2017,1193,22286349812.418274,119649.71584241412
11,15,1,2017,1153,22471943659.771919,147070.49436253251
12,15,1,2017,4996,22591765640.80603,100306.14011208953
13,15,1,2017,1456,21523195960.539162,139120.8873626375
14,15,1,2017,1101,22614617459.741142,151949.91099000906
15,15,1,2017,2395,22213830334.680637,122121.06096033395
16,15,1,2017,1609,23599360234.678066,181009.70665009349
17,15,1,2017,2188,21589994072.793842,136100.26234003666
18,15,1,2017,1570,22142413850.001965,129542.35923566863
19,15,1,2017,1441,22027064538.515675,137691.09229701603
20,15,1,2017,1067,22572335605.979359,151364.580131209
21,15,1,2017,1867,22539864058.024082,91509.692019282185
22,15,1,2017,1149,23268650336.426476,111654.06788511753
23,15,1,2017,1058,22995018584.813766,117253.59546313791
0,16,1,2017,1174,22918228279.391811,121950.33816013619
1,16,1,2017,1395,22072628126.556992,115752.78351254485
2,16,1,2017,2942,21469921165.874569,109845.037729436
3,16,1,2017,3134,22605902455.645187,108804.91448627954
4,16,1,2017,1321,22966931291.86298,116110.43906131726
5,16,1,2017,1265,21844268774.705124,125708.25454545466
6,16,1,2017,1407,22255602326.29208,167900.540156361
7,16,1,2017,1624,22549332436.282024,121543.19088669951
8,16,1,2017,1644,22252336643.741463,363732.17700729921
9,16,1,2017,2387,22646144814.304554,93897.234604105586
10,16,1,2017,1392,22503063898.123558,141807.46551724119
11,16,1,2017,1848,21909632034.633659,134353.53625541116
12,16,1,2017,2136,21887788500.257034,115717.84035580522
13,16,1,2017,3221,21608505133.590214,134621.57621856578
14,16,1,2017,1295,23909702762.936676,110818.091891892
15,16,1,2017,2057,22368123190.300835,86916.5143412737
16,16,1,2017,3578,22784537973.424812,144358.6500838458
17,16,1,2017,2163,22751579320.514122,192822.02172908004
18,16,1,2017,1520,23223342171.668427,149097.03223684215
19,16,1,2017,1484,22902624255.534382,130781.34973045823
20,16,1,2017,1319,22503890942.451107,127042.58908263838
21,16,1,2017,2393,22457511373.216022,105874.29251984952
22,16,1,2017,1218,22524069159.728256,116228.86863711015
23,16,1,2017,1458,21902528240.167358,125787.93895747591
0,17,1,2017,1145,22431440908.303062,136465.24978165951
1,17,1,2017,3104,20982024756.010044,170913.97777061845
2,17,1,2017,2355,21946441949.985977,103025.74309978756
3,17,1,2017,2617,23091860905.690075,120420.63087504776
4,17,1,2017,3009,21279007265.95116,108404.66633433047
5,17,1,2017,1362,22763080937.262119,130596.39941262854
6,17,1,2017,1958,21789683350.359585,126072.4984678242
7,17,1,2017,1358,22200872319.741516,241510.66347569972
8,17,1,2017,1722,23281673740.355972,326484.85133565642
9,17,1,2017,2529,22698609675.344807,103899.62633451953
10,17,1,2017,1537,22430264304.845127,119746.6727391021
11,17,1,2017,1357,23316371581.835663,129431.19675755351
12,17,1,2017,1457,23013257540.529861,141354.92999313652
13,17,1,2017,1616,22225135077.0978,137086.2110148514
14,17,1,2017,1768,23613933050.96384,138461.21493212681
15,17,1,2017,2404,22457626645.986317,110461.20507487537
16,17,1,2017,1505,22997468754.946186,120486.107641196
17,17,1,2017,1448,24467567826.783127,192056.83908839786
18,17,1,2017,1424,26509688787.851807,181670.12008426961
19,17,1,2017,4450,23265748551.88451,94424.910337078632
20,17,1,2017,1702,22907479933.219761,118546.88425381908
21,17,1,2017,1840,23071768377.426643,111229.51195652183
22,17,1,2017,1621,22758248432.943241,145867.42504626769
23,17,1,2017,1383,23272681316.52351,117532.67389732455
0,18,1,2017,1643,22621643127.0079,132879.70115642107
1,18,1,2017,1339,23434033927.239723,139204.67886482427
2,18,1,2017,2406,21864061631.523754,108976.65461346631
3,18,1,2017,2380,22956437811.662628,110800.15546218485
4,18,1,2017,1583,23017520996.946896,133294.06380290579
5,18,1,2017,1528,22175272529.764416,130877.79123036654
6,18,1,2017,1729,22293557185.36496,139918.87796414102
7,18,1,2017,3288,21418136406.817219,110879.1815693431
8,18,1,2017,1710,22177494875.175423,129807.42163742667
9,18,1,2017,2047,22509755200.437256,128761.10845139231
10,18,1,2017,1500,22098514709.634632,147092.14266666691
11,18,1,2017,1905,22439554019.812595,125261.8325459318
12,18,1,2017,1644,21589659367.397182,132198.11982968371
13,18,1,2017,1453,22713981108.717148,138401.48245010324
14,18,1,2017,3719,22778142973.808475,108165.20731379418
15,18,1,2017,2316,21806469214.919651,104689.56822107073
16,18,1,2017,1443,22737762585.313179,137213.25779625788
17,18,1,2017,1470,22591310608.337406,162313.79659863914
18,18,1,2017,1543,24171239759.811375,166233.65392093311
19,18,1,2017,1502,23509629424.316921,183720.1984021306
20,18,1,2017,1309,22456321828.946583,156190.8357524829
21,18,1,2017,2287,22220302786.665909,120258.83602973324
22,18,1,2017,1727,22056300353.005219,134012.81007527516
23,18,1,2017,1523,21768877216.022945,145129.47931713736
0,19,1,2017,1323,22102798660.792877,149287.96069538922
1,19,1,2017,1328,21436049444.947277,136522.9495481929
2,19,1,2017,2203,22175718317.001808,117960.06718111651
3,19,1,2017,4208,21872569897.536415,106553.18417300392
4,19,1,2017,1298,22258332878.696476,139705.1879815101
5,19,1,2017,1871,21010192740.040092,135391.25547835394
6,19,1,2017,1306,21281156782.458649,173615.00076569675
7,19,1,2017,2422,21729236403.886417,124728.10734929828
8,19,1,2017,1714,23173444625.903122,119955.45390898484
9,19,1,2017,2644,22951974584.796921,114946.58245083211
10,19,1,2017,1413,22753815942.836533,147040.5392781315
11,19,1,2017,1473,22209546938.2661,141601.17107942962
12,19,1,2017,1845,21982674644.151188,121564.00325203256
13,19,1,2017,1136,22344188083.404049,143390.32570422534
14,19,1,2017,3170,22002087415.404697,105833.82586750764
15,19,1,2017,2300,21778244422.89394,88979.54391304341
16,19,1,2017,1473,22684021648.325222,120243.97488119481
17,19,1,2017,1598,22315894868.588211,115767.77722152689
18,19,1,2017,1379,23894926940.548985,143673.50543872366
19,19,1,2017,1568,22466495201.72258,128517.4241071429
20,19,1,2017,1534,22564669157.86895,131778.12320730102
21,19,1,2017,2067,22274616581.086193,113642.36236090949
22,19,1,2017,1286,22046902081.29858,123799.58242612741
23,19,1,2017,1069,22816491333.150566,136809.2927970064
0,20,1,2017,2249,21445272225.243633,135944.34859937764
1,20,1,2017,3178,21789656666.711178,124735.63089993702
2,20,1,2017,2211,21282752775.459087,144116.11488014457
3,20,1,2017,2262,22962109429.940311,107719.52696728555
4,20,1,2017,1629,21012362076.683258,125629.35420503381
5,20,1,2017,1649,20413583990.299557,130807.00181928428
6,20,1,2017,1894,21729941885.300949,112947.59767687423
7,20,1,2017,1414,23343226413.897484,132314.38613861386
8,20,1,2017,1205,22651300219.129478,152800.79087136907
9,20,1,2017,2741,22788549310.931858,109493.12951477554
10,20,1,2017,1395,23129287922.812881,198300.09892473108
11,20,1,2017,1382,22286191082.886406,157575.4196816209
12,20,1,2017,1436,22487692867.043179,157505.34610027837
13,20,1,2017,1528,23266937172.77816,136757.2873036644
14,20,1,2017,2786,22260367320.730793,110564.80114860002
15,20,1,2017,4209,22562541031.191063,86184.790449037711
16,20,1,2017,1473,22466793596.742702,185621.10251188016
17,20,1,2017,1704,22905198209.985348,221545.53990610328
18,20,1,2017,1425,22005380922.947433,197410.96280701773
19,20,1,2017,1377,22295519444.503304,185405.76761074798
20,20,1,2017,1627,21918889043.084213,187594.74124154903
21,20,1,2017,2408,22059094626.985863,154524.99169435212
22,20,1,2017,1358,22017424679.060368,171805.91163475721
23,20,1,2017,1235,22167651782.212963,136947.69473684183
0,21,1,2017,1213,22644810276.736202,112435.80956306668
1,21,1,2017,2760,21178289421.926491,110731.46340579721
2,21,1,2017,1985,21275216345.472565,119980.22720403023
3,21,1,2017,1983,22979373847.514881,118381.43015632895
4,21,1,2017,1346,22285240113.189476,141592.2615156018
5,21,1,2017,1305,21636781486.59465,130865.15172413776
6,21,1,2017,1386,21761904761.905476,199877.79148629148
7,21,1,2017,1736,22562587549.5622,116393.97638248853
8,21,1,2017,1948,22356777355.573959,112970.57289527719
9,21,1,2017,3364,22354140466.181633,94659.31093935814
10,21,1,2017,3413,23018265461.898319,101116.16759449159
11,21,1,2017,1267,23179331604.052879,125440.22020520917
12,21,1,2017,1595,22680321707.717224,146420.38557993711
13,21,1,2017,1777,23111423747.893623,118151.97974113672
14,21,1,2017,1533,22784197898.790592,120819.8884540119
15,21,1,2017,2344,22489761092.157,129897.79863481228
