hour,day,month,year,num_transactions,input_value,output_value
21,7,2,2014,114,1497783226151,1665783226151
22,7,2,2014,144,3202569180552,3429369180552
23,7,2,2014,119,2407204398301,2558404398301
0,8,2,2014,144,30183369594631,30359769594631
1,8,2,2014,138,4925532645166,5152332645166
2,8,2,2014,94,1609711506447,1769311506447
3,8,2,2014,200,1065774415940,1426974415940
4,8,2,2014,137,774105280834,1000905280834
5,8,2,2014,144,2139864157069,2433864157069
6,8,2,2014,117,2201416877569,2377816877569
7,8,2,2014,124,1009671649782,1253271649782
8,8,2,2014,128,1047150984118,1299150984118
9,8,2,2014,180,16794669913544,17130669913544
10,8,2,2014,150,57332218441008,57609418441008
11,8,2,2014,147,47587953252887,47839953252887
12,8,2,2014,149,3233325475698,3476925475698
13,8,2,2014,183,1531243105540,1829443105540
14,8,2,2014,181,1252103076703,1596503076703
15,8,2,2014,160,1349386525562,1677386525562
16,8,2,2014,159,2384794535423,2704594535423
17,8,2,2014,173,2283192796552,2594792796552
18,8,2,2014,162,975133444463,1229333444463
19,8,2,2014,213,3665038958554,4050438958554
20,8,2,2014,193,2679611385377,3040411385377
21,8,2,2014,220,1346316562730,1879316562730
22,8,2,2014,325,2693770595431,3480970595431
23,8,2,2014,240,1541792275031,2271592275031
0,9,2,2014,144,1933446614521,2210146614521
1,9,2,2014,208,13303701844018,13632701844018
2,9,2,2014,174,2435425519710,2708025519710
3,9,2,2014,148,1505397968659,1810897968659
4,9,2,2014,153,3970801795656,4266901795656
5,9,2,2014,140,1301964245800,1602764245800
6,9,2,2014,115,1607403227408,1804803227408
7,9,2,2014,146,3425035024071,3707035024071
8,9,2,2014,178,1965872126776,2224372126776
9,9,2,2014,121,445396158544,699196158544
10,9,2,2014,85,241042109561,395142109561
11,9,2,2014,17,64289242504,84289242504
12,9,2,2014,45,1065214004909,1090214004909
13,9,2,2014,42,3454789452701,3479789452701
14,9,2,2014,61,368425270025,418425270025
15,9,2,2014,47,567144268697,594644268697
16,9,2,2014,37,1215253902540,1245253902540
17,9,2,2014,52,758194160480,800694160480
18,9,2,2014,42,1582936263262,1615436263262
19,9,2,2014,26,189524798787,209524798787
20,9,2,2014,16,56310057890,66310057890
21,9,2,2014,19,1599837231222,1604837231222
23,9,2,2014,30,1583066660601,1593066660601
0,10,2,2014,16,2999210099079,3009210099079
1,10,2,2014,11,261834052396,269334052396
2,10,2,2014,20,968937087138,978937087138
3,10,2,2014,19,514198391741,529198391741
4,10,2,2014,27,795301821265,810301821265
5,10,2,2014,28,201911054837,214411054837
6,10,2,2014,14,105172442033,112672442033
7,10,2,2014,23,218045576310,223045576310
8,10,2,2014,16,51130212916,56130212916
9,10,2,2014,11,26029322580,33529322580
10,10,2,2014,12,179920771115,182420771115
11,10,2,2014,26,155543549885,170543549885
12,10,2,2014,16,205099683684,217599683684
13,10,2,2014,11,232896165992,240396165992
14,10,2,2014,15,136221781562,146221781562
15,10,2,2014,14,83184236916,90684236916
16,10,2,2014,13,1247342896605,1252342896605
17,10,2,2014,22,928107869605,938107869605
18,10,2,2014,13,309266979552,321766979552
19,10,2,2014,22,773181663563,788181663563
20,10,2,2014,9,181943596250,186943596250
21,10,2,2014,16,44494433106,54494433106
22,10,2,2014,14,965811051014,975811051014
23,10,2,2014,29,340154310469,362654310469
0,11,2,2014,121,1471753581985,1798853581985
1,11,2,2014,148,775042889265,1032942889265
2,11,2,2014,105,382521761171,525321761171
3,11,2,2014,80,768995350755,885695350755
4,11,2,2014,112,1321578140008,1483378140008
5,11,2,2014,115,641443884885,787043884885
6,11,2,2014,107,1020081193711,1149581193711
7,11,2,2014,100,894295491843,1021295491843
8,11,2,2014,129,1176632292422,1318032292422
9,11,2,2014,82,449475533526,526975533526
10,11,2,2014,82,4366155024217,4447855024217
11,11,2,2014,99,1116519225446,1229319225446
12,11,2,2014,116,588977953941,736677953941
13,11,2,2014,99,603012668409,715412668409
14,11,2,2014,103,871874823190,1006874823190
15,11,2,2014,130,1657484310406,1788284310406
16,11,2,2014,120,1611789212918,1745789212918
17,11,2,2014,108,2104322907823,2198922907823
18,11,2,2014,102,1645948101005,1730548101005
19,11,2,2014,164,936498020050,1068898020050
20,11,2,2014,81,887754707916,987654707916
21,11,2,2014,126,19716606975455,19841706975455
22,11,2,2014,107,321096649359,426796649359
23,11,2,2014,93,225003132835,316903132835
0,12,2,2014,135,971635403900,1056835403900
1,12,2,2014,77,235405980103,291305980103
2,12,2,2014,171,2551654289854,2681754289854
3,12,2,2014,191,1782025280967,1964625280967
4,12,2,2014,103,308929874778,484729874778
5,12,2,2014,150,7844045409950,8089245409950
6,12,2,2014,153,453070046306,615470046306
7,12,2,2014,136,9492572881907,9665472881907
8,12,2,2014,170,652278440112,841978440112
9,12,2,2014,161,2098067918653,2315167918653
10,12,2,2014,167,482461421814,614661421814
11,12,2,2014,164,1037549464108,1219849464108
12,12,2,2014,105,337595321796,426295321796
13,12,2,2014,158,2271258869216,2424758869216
14,12,2,2014,149,643195333703,797595333703
15,12,2,2014,131,639261268624,739661268624
16,12,2,2014,128,773043708871,853843708871
17,12,2,2014,149,7333021975384,7424621975384
18,12,2,2014,123,7736537578883,7833537578883
19,12,2,2014,123,471147924004,547047924004
20,12,2,2014,81,912597008400,988797008400
21,12,2,2014,85,441973211244,564573211244
22,12,2,2014,111,420259306501,550459306501
23,12,2,2014,144,1727646911585,1848446911585
0,13,2,2014,89,390626417900,487126417900
1,13,2,2014,105,333753954832,474753954832
2,13,2,2014,157,431924828636,598424828636
3,13,2,2014,142,383211213087,536111213087
4,13,2,2014,156,425278144196,597978144196
5,13,2,2014,92,271115527293,394815527293
6,13,2,2014,148,494912223335,629012223335
7,13,2,2014,173,478992957726,666992957726
8,13,2,2014,178,517317318344,684717318344
9,13,2,2014,153,670369010432,804269010432
10,13,2,2014,155,859785012456,1010285012456
11,13,2,2014,188,1457675156794,1596975156794
12,13,2,2014,160,654673003069,794273003069
13,13,2,2014,199,1051486565368,1194386565368
14,13,2,2014,137,740135189062,863435189062
15,13,2,2014,208,2583926416440,2669426416440
16,13,2,2014,274,19782981520625,19960181520625
17,13,2,2014,263,2662831398759,2818931398759
18,13,2,2014,153,1907376231620,2020776231620
19,13,2,2014,150,904785038000,1002485038000
20,13,2,2014,162,980458517231,1110658517231
21,13,2,2014,196,683613076344,880413076344
22,13,2,2014,194,686554489990,805654489990
23,13,2,2014,164,922086556918,1058686556918
0,14,2,2014,259,2177459575483,2331259575483
1,14,2,2014,143,639130612855,753930612855
2,14,2,2014,167,618415869337,740115869337
3,14,2,2014,236,701567787686,860867787686
4,14,2,2014,179,1948174802318,2080874802318
5,14,2,2014,129,635210822902,754510822902
6,14,2,2014,133,466448957081,562148957081
7,14,2,2014,228,2193452277803,2382552277803
8,14,2,2014,160,437051920703,581251920703
9,14,2,2014,152,463738992082,593538992082
10,14,2,2014,242,777619478137,959519478137
11,14,2,2014,157,1457678181116,1562278181116
12,14,2,2014,207,555212633800,704812633800
13,14,2,2014,179,635771188871,784371188871
14,14,2,2014,189,661297636493,782597636493
15,14,2,2014,151,500314205656,639714205656
16,14,2,2014,204,779043375023,941643375023
17,14,2,2014,111,526363072426,609663072426
18,14,2,2014,193,1680309880303,1825609880303
19,14,2,2014,160,756147967154,871847967154
20,14,2,2014,117,830819906648,908019906648
21,14,2,2014,183,1954665760156,2142165760156
22,14,2,2014,130,1380211656900,1496011656900
23,14,2,2014,219,2077777236899,2308077236899
0,15,2,2014,145,695791349819,839291349819
1,15,2,2014,139,1026057980666,1195557980666
2,15,2,2014,178,937309402779,1128709402779
3,15,2,2014,202,2309745168385,2473545168385
