hour,day,month,year,num_transactions,avg_gas_price,avg_gas
4,6,5,2020,35440,16783412967.013584,205314.88803611684
5,6,5,2020,38837,14126899161.840574,222754.95465664062
6,6,5,2020,37074,18827162565.217754,216992.23315531138
7,6,5,2020,40108,20472835640.650005,206405.76037199615
8,6,5,2020,37628,21593800204.022984,194393.33347507252
9,6,5,2020,42963,20421433836.893955,165979.08060424018
10,6,5,2020,39947,18608695266.834541,173799.77169749947
11,6,5,2020,38173,17442473607.112049,192857.84232310773
12,6,5,2020,33815,23784040311.347202,268603.34540884465
13,6,5,2020,42927,24904810857.785221,270467.98238870566
14,6,5,2020,38153,27891290702.601604,238514.74224831545
15,6,5,2020,36483,26128872322.955868,240909.17021626222
16,6,5,2020,38679,20859812229.124073,223790.215982834
17,6,5,2020,36079,19048832739.786549,218739.35854652309
18,6,5,2020,34296,12577957215.629684,229550.66771635169
19,6,5,2020,26058,12377095130.720459,272568.05610560958
20,6,5,2020,25670,12074057205.858877,306225.72843786108
21,6,5,2020,23349,10702208194.309725,304284.80264679505
22,6,5,2020,27703,11033336715.869438,243548.9417391601
23,6,5,2020,20518,14745460929.788437,308725.37318452232
0,7,5,2020,28355,15901708966.28019,275836.92593898624
1,7,5,2020,32950,18985581661.1126,227530.54385432327
2,7,5,2020,32945,22043883006.09898,238954.42267415707
3,7,5,2020,38366,21803291796.639908,205011.1247198045
4,7,5,2020,38258,17684168609.261364,182524.19692613237
5,7,5,2020,37886,15247574108.851723,183707.14892044579
6,7,5,2020,34007,18315551586.110474,213811.00191137163
7,7,5,2020,36782,23590291363.183552,195121.97093687122
8,7,5,2020,42668,20532036240.844223,166342.41836973894
9,7,5,2020,40235,20176941461.757202,175808.42137442529
10,7,5,2020,38071,22968078130.058945,214738.56975125382
11,7,5,2020,37080,21506932670.445919,207188.00889967609
12,7,5,2020,40121,21465204780.611488,196854.08830787029
13,7,5,2020,40512,23128895172.924904,210565.1201866114
14,7,5,2020,37023,28563561043.718193,221874.48472571079
15,7,5,2020,35753,25577090467.372547,197562.46840824716
16,7,5,2020,34178,22262951961.926853,192414.77936099129
17,7,5,2020,32742,22221317365.488503,226177.52583837221
18,7,5,2020,38485,24258281910.138176,216925.38856697344
19,7,5,2020,41820,21684481147.574596,189475.25066953839
20,7,5,2020,38127,19178369421.011433,197784.56196396294
21,7,5,2020,35102,16702727189.473886,263309.70252407371
22,7,5,2020,34327,16425427085.662252,213269.43688641628
23,7,5,2020,31336,18013977297.759918,236581.34219428056
0,8,5,2020,35922,19414591544.231449,230528.60400311652
1,8,5,2020,38006,18888145843.791634,227628.37430931913
2,8,5,2020,37763,20391232881.718761,186078.16855122894
3,8,5,2020,41264,20131683992.6225,194061.98618650745
4,8,5,2020,38240,19859310705.168827,186394.08519874411
5,8,5,2020,34575,21521821005.504791,198713.87704989157
6,8,5,2020,34972,23393834494.355564,198320.54609401527
7,8,5,2020,42864,20846016074.185406,182133.6662700637
8,8,5,2020,43726,19098702098.372776,194109.72652426345
9,8,5,2020,40879,19260791649.409866,174491.0241688884
10,8,5,2020,40635,20659863164.129616,173528.24338624522
11,8,5,2020,36971,22830816225.613995,206307.04157312479
12,8,5,2020,36119,23891417170.415825,194019.65278662095
13,8,5,2020,39555,22300528022.754326,186664.42856781706
14,8,5,2020,38670,24177462310.170959,215968.24140160208
15,8,5,2020,40676,29034368556.698315,249654.048652768
16,8,5,2020,39824,26987444271.849068,206072.24688629826
17,8,5,2020,37514,22724508841.419609,212310.71154768788
18,8,5,2020,35880,16455449149.266695,238179.89133221778
19,8,5,2020,33133,15369468258.463753,359150.19080674724
20,8,5,2020,30817,14672779778.294073,309946.51903170242
21,8,5,2020,27557,16724899300.009926,241649.72235729522
22,8,5,2020,31336,15257448488.937729,229770.01579652767
23,8,5,2020,30858,14121566781.146839,241813.6163717669
0,9,5,2020,34689,15147282915.9169,220957.30355444044
1,9,5,2020,36676,16641821423.000135,229519.18758861459
2,9,5,2020,40560,17794313826.424652,190459.21908284369
3,9,5,2020,40642,16757796421.99579,201902.06284139451
4,9,5,2020,38166,16702799409.05797,199509.54862967116
5,9,5,2020,35085,19738960440.166855,197261.38871312593
6,9,5,2020,42045,21940459345.382359,191547.12700677852
7,9,5,2020,37941,25096675426.839111,186449.37827152602
8,9,5,2020,44201,24535720598.843998,160429.94570258557
9,9,5,2020,47294,21892233661.930145,169320.36366135202
10,9,5,2020,39554,20603584465.05888,188531.0364817729
11,9,5,2020,40919,21384348902.222839,180395.35203695146
12,9,5,2020,40970,20473270356.161758,200841.14564315422
13,9,5,2020,37082,20490639736.74279,215121.52127717089
14,9,5,2020,38488,20628023968.560612,224572.58049262327
15,9,5,2020,38196,21157018999.066521,252406.37859985474
16,9,5,2020,39804,16321425196.046524,201895.82403778585
17,9,5,2020,36467,12917631221.974714,210304.70504839803
18,9,5,2020,34100,12249120951.626371,193208.51123167205
