hour,day,month,year,num_transactions,input_value,output_value
22,18,1,2013,2682,14022342509677,14034842509677
23,18,1,2013,2992,10764913106805,10784913106805
0,19,1,2013,5115,11120295227121,11140295227121
1,19,1,2013,2195,12921029918735,12941029918735
2,19,1,2013,2382,10923772467027,10936272467027
3,19,1,2013,2172,6507944706818,6520444706818
4,19,1,2013,4607,6955526120520,6973026120520
5,19,1,2013,3728,2953385031587,2970885031587
6,19,1,2013,4398,8216465055210,8241465055210
7,19,1,2013,2663,3692728457220,3712728457220
8,19,1,2013,1926,4138485068596,4155985068596
9,19,1,2013,777,4845528491324,4848028491324
10,19,1,2013,2057,5958098851292,5973098801292
11,19,1,2013,1048,2018081073883,2028081073883
12,19,1,2013,1680,8491777988450,8504277988450
13,19,1,2013,1657,6551767466161,6564267466161
14,19,1,2013,1713,7942810142873,7960310142873
15,19,1,2013,1989,7236872655539,7254372655539
16,19,1,2013,1631,4270965409533,4293465409533
17,19,1,2013,1990,8364446196567,8376946196567
18,19,1,2013,3239,8867023567339,8884523567339
19,19,1,2013,2456,7098165849529,7120665849529
20,19,1,2013,1819,3613379610373,3638379560373
21,19,1,2013,2098,5140420337689,5152920337689
22,19,1,2013,2257,5146164448327,5163664448327
23,19,1,2013,573,911298953299,916298953299
0,20,1,2013,3261,12235374265060,12252874265060
1,20,1,2013,1020,4512672929103,4520172929103
2,20,1,2013,1534,6498902501428,6511402501428
3,20,1,2013,1041,4703784871236,4711284871236
4,20,1,2013,1404,4514663676002,4529663676002
5,20,1,2013,509,2049880600994,2057380600994
6,20,1,2013,1030,6243536707164,6248536707164
7,20,1,2013,713,4081543746497,4084043746497
8,20,1,2013,2202,7690979455630,7700979455630
9,20,1,2013,1310,3056690826327,3066690826327
10,20,1,2013,2838,2439337620946,2469337620946
11,20,1,2013,1743,3047146805927,3054646805927
12,20,1,2013,1535,3172885148220,3185385148220
13,20,1,2013,1694,4103656429794,4113656429794
14,20,1,2013,1669,3438010534401,3460510434401
15,20,1,2013,2106,9507241811036,9519741811036
16,20,1,2013,2315,4338899878977,4356399878977
17,20,1,2013,1843,1900726232087,1923226182087
18,20,1,2013,2591,5430352150105,5455352150105
19,20,1,2013,1291,2365247465197,2377747465197
20,20,1,2013,2006,5561626538735,5574126538735
21,20,1,2013,2083,4278472593652,4300972593652
22,20,1,2013,1902,6776922431346,6786922431346
23,20,1,2013,1731,7689521181760,7702021181760
0,21,1,2013,4653,9056907547290,9084407547290
1,21,1,2013,1932,6326595976059,6339095976059
2,21,1,2013,2098,6858526105321,6878526105321
3,21,1,2013,1295,4490522067567,4503021967567
4,21,1,2013,748,2203686622509,2208686622509
5,21,1,2013,2255,6745279465524,6757779465524
6,21,1,2013,968,2872216451571,2882216351571
7,21,1,2013,1109,3026855889069,3034355889069
8,21,1,2013,1610,4148954722532,4171454722532
9,21,1,2013,903,2335826708705,2345826708705
10,21,1,2013,986,1786843837787,1806843837787
11,21,1,2013,847,2707682752202,2717682752202
12,21,1,2013,913,3199411657006,3219411657006
13,21,1,2013,1037,2957436790568,2969936790568
14,21,1,2013,1795,2642756991673,2655256991673
15,21,1,2013,1850,6504932421762,6517432421762
16,21,1,2013,1954,6970006483634,6982506483634
17,21,1,2013,2431,5024974670774,5052474670774
18,21,1,2013,1770,3966734929040,3979234929040
19,21,1,2013,924,4066104442727,4068604442727
20,21,1,2013,2495,11101140784547,11113640784547
21,21,1,2013,2407,5195212050699,5207712050699
22,21,1,2013,969,3425267366544,3432767366544
23,21,1,2013,2492,7331269218364,7346269218364
0,22,1,2013,2541,8866117066074,8876117066074
1,22,1,2013,2102,8641735545262,8656735545262
2,22,1,2013,1857,8438298353378,8458298353378
3,22,1,2013,1019,4326081922339,4338581922339
4,22,1,2013,2037,6974682653338,6989682653338
5,22,1,2013,1448,7842196875475,7862196875475
6,22,1,2013,1528,4788439875947,4813439775947
7,22,1,2013,1843,3616252899995,3633752799995
8,22,1,2013,1284,5814667993610,5819667993610
9,22,1,2013,1628,4050936922908,4073436872908
10,22,1,2013,902,3109563413493,3117063413493
11,22,1,2013,1414,3830826359555,3838326359555
12,22,1,2013,1235,4073962109604,4088962109604
13,22,1,2013,869,2808360887124,2815860887124
14,22,1,2013,884,3116397562465,3126397562465
15,22,1,2013,2235,6718756725799,6733756725799
16,22,1,2013,1542,5344145016764,5356645016764
17,22,1,2013,2282,8201748809451,8219248809451
18,22,1,2013,2896,7620824373887,7648324373887
19,22,1,2013,1954,4708945759132,4718945759132
20,22,1,2013,3116,11945431684241,11967931684241
21,22,1,2013,2189,6275983212089,6285983212089
22,22,1,2013,2749,8261036341759,8276036341759
23,22,1,2013,2198,6634399894287,6654399894287
0,23,1,2013,1784,6532325114881,6542325114881
1,23,1,2013,2746,32388011990406,32400511990406
2,23,1,2013,1887,7423244492172,7430744492172
3,23,1,2013,2176,10282454179429,10294954179429
4,23,1,2013,3344,12425863732746,12443363732746
5,23,1,2013,1987,9094405665267,9104405665267
6,23,1,2013,3019,10894507754696,10914507754696
7,23,1,2013,2191,8929668853207,8949668753207
8,23,1,2013,2112,9271942208468,9289442208468
9,23,1,2013,978,4755824645648,4763324645648
10,23,1,2013,2136,9512488289472,9524988139472
11,23,1,2013,990,8314950626697,8324950626697
12,23,1,2013,1493,8559542384551,8577042384551
13,23,1,2013,999,5602348683957,5614848683957
14,23,1,2013,1088,7249093214013,7259093214013
15,23,1,2013,2070,10592073265623,10607073265623
16,23,1,2013,1792,11401682384785,11421682384785
17,23,1,2013,1368,4591725416757,4596725416757
18,23,1,2013,1817,11647465395724,11657465395724
19,23,1,2013,2156,11766033029999,11776033029999
20,23,1,2013,2256,14585125490850,14605125490850
21,23,1,2013,2254,12557347796086,12574847796086
22,23,1,2013,1762,3992540469393,4000040469393
23,23,1,2013,2273,8650793436877,8663293436877
0,24,1,2013,4340,12638324414817,12660824414817
1,24,1,2013,2807,7029822196058,7052322196058
2,24,1,2013,1828,5119448303440,5131948303440
3,24,1,2013,1819,8943096597801,8953096597801
4,24,1,2013,2514,9879900551841,9897400551841
5,24,1,2013,1221,2798725052220,2808725052220
6,24,1,2013,2714,7163803857974,7178803857974
7,24,1,2013,1272,2726160717447,2741160717447
8,24,1,2013,2338,4253856113605,4271356063605
9,24,1,2013,1929,4753251940057,4788251940057
10,24,1,2013,1360,4050592380191,4070592280191
11,24,1,2013,1047,3911739264761,3924239264761
12,24,1,2013,873,8516579903771,8529079903771
13,24,1,2013,2051,6664982450854,6689982450854
14,24,1,2013,1070,3113418725100,3123418725100
15,24,1,2013,873,2585083563626,2590083563626
16,24,1,2013,1835,4740829552201,4750829552201
17,24,1,2013,1671,6426140865447,6443640865447
18,24,1,2013,2261,5985230370772,6005230370772
19,24,1,2013,2714,7809720091496,7849720091496
20,24,1,2013,630,1857610618333,1860110618333
21,24,1,2013,2417,10848185487614,10858185487614
22,24,1,2013,2661,13572494019362,13592494019362
23,24,1,2013,1976,15915998943972,15923498943972
0,25,1,2013,3225,14202025043679,14219524943679
1,25,1,2013,2148,9063167846216,9073167846216
2,25,1,2013,2784,11269336440593,11289336440593
3,25,1,2013,1747,8000142244054,8012642144054
4,25,1,2013,1780,8000885213331,8013385213331
5,25,1,2013,1693,8027431013495,8037431013495
6,25,1,2013,2181,6132988684077,6150488684077
